event_id,commence_time_utc,away_team,home_team,bookmaker,bookmaker_last_update,market,selection,point,decimal_odds,american_odds,implied_probability
3aa03f1c80c2ca97a49e0b7548d9e647,2026-09-25T22:41:00Z,Pittsburgh Pirates,Detroit Tigers,pinnacle,2026-09-25T02:34:30Z,h2h,Detroit Tigers,,1.96,-104,0.510204
3aa03f1c80c2ca97a49e0b7548d9e647,2026-09-25T22:41:00Z,Pittsburgh Pirates,Detroit Tigers,pinnacle,2026-09-25T02:34:30Z,h2h,Pittsburgh Pirates,,1.94,-106,0.515464
3aa03f1c80c2ca97a49e0b7548d9e647,2026-09-25T22:41:00Z,Pittsburgh Pirates,Detroit Tigers,pinnacle,2026-09-25T02:34:30Z,spreads,Detroit Tigers,1.5,1.56,-179,0.641026
3aa03f1c80c2ca97a49e0b7548d9e647,2026-09-25T22:41:00Z,Pittsburgh Pirates,Detroit Tigers,pinnacle,2026-09-25T02:34:30Z,spreads,Pittsburgh Pirates,-1.5,2.57,+157,0.389105
3aa03f1c80c2ca97a49e0b7548d9e647,2026-09-25T22:41:00Z,Pittsburgh Pirates,Detroit Tigers,pinnacle,2026-09-25T02:34:30Z,totals,Over,7.5,1.86,-116,0.537634
3aa03f1c80c2ca97a49e0b7548d9e647,2026-09-25T22:41:00Z,Pittsburgh Pirates,Detroit Tigers,pinnacle,2026-09-25T02:34:30Z,totals,Under,7.5,2.01,+101,0.497512
6e8b1f358bb5c3837f473e61ecb68650,2026-09-25T22:41:00Z,Tampa Bay Rays,Philadelphia Phillies,pinnacle,2026-09-25T02:34:30Z,h2h,Philadelphia Phillies,,1.65,-154,0.606061
6e8b1f358bb5c3837f473e61ecb68650,2026-09-25T22:41:00Z,Tampa Bay Rays,Philadelphia Phillies,pinnacle,2026-09-25T02:34:30Z,h2h,Tampa Bay Rays,,2.39,+139,0.41841
6e8b1f358bb5c3837f473e61ecb68650,2026-09-25T22:41:00Z,Tampa Bay Rays,Philadelphia Phillies,pinnacle,2026-09-25T02:34:30Z,spreads,Philadelphia Phillies,-1.5,2.51,+151,0.398406
6e8b1f358bb5c3837f473e61ecb68650,2026-09-25T22:41:00Z,Tampa Bay Rays,Philadelphia Phillies,pinnacle,2026-09-25T02:34:30Z,spreads,Tampa Bay Rays,1.5,1.58,-172,0.632911
6e8b1f358bb5c3837f473e61ecb68650,2026-09-25T22:41:00Z,Tampa Bay Rays,Philadelphia Phillies,pinnacle,2026-09-25T02:34:30Z,totals,Over,6.5,1.86,-116,0.537634
6e8b1f358bb5c3837f473e61ecb68650,2026-09-25T22:41:00Z,Tampa Bay Rays,Philadelphia Phillies,pinnacle,2026-09-25T02:34:30Z,totals,Under,6.5,2.01,+101,0.497512
b6829a3017da7786aceea335c5c36bb3,2026-09-25T23:40:00Z,Colorado Rockies,Chicago White Sox,pinnacle,2026-09-25T02:34:30Z,h2h,Chicago White Sox,,1.47,-213,0.680272
b6829a3017da7786aceea335c5c36bb3,2026-09-25T23:40:00Z,Colorado Rockies,Chicago White Sox,pinnacle,2026-09-25T02:34:30Z,h2h,Colorado Rockies,,2.9,+190,0.344828
b6829a3017da7786aceea335c5c36bb3,2026-09-25T23:40:00Z,Colorado Rockies,Chicago White Sox,pinnacle,2026-09-25T02:34:30Z,spreads,Chicago White Sox,-1.5,2.02,+102,0.49505
b6829a3017da7786aceea335c5c36bb3,2026-09-25T23:40:00Z,Colorado Rockies,Chicago White Sox,pinnacle,2026-09-25T02:34:30Z,spreads,Colorado Rockies,1.5,1.88,-114,0.531915
b6829a3017da7786aceea335c5c36bb3,2026-09-25T23:40:00Z,Colorado Rockies,Chicago White Sox,pinnacle,2026-09-25T02:34:30Z,totals,Over,8.0,1.88,-114,0.531915
b6829a3017da7786aceea335c5c36bb3,2026-09-25T23:40:00Z,Colorado Rockies,Chicago White Sox,pinnacle,2026-09-25T02:34:30Z,totals,Under,8.0,1.99,-101,0.502513
7bd30076728c7fcf1f893c1d269a60af,2026-09-25T23:41:00Z,Cleveland Guardians,Kansas City Royals,pinnacle,2026-09-25T02:34:30Z,h2h,Cleveland Guardians,,1.75,-133,0.571429
7bd30076728c7fcf1f893c1d269a60af,2026-09-25T23:41:00Z,Cleveland Guardians,Kansas City Royals,pinnacle,2026-09-25T02:34:30Z,h2h,Kansas City Royals,,2.2,+120,0.454545
7bd30076728c7fcf1f893c1d269a60af,2026-09-25T23:41:00Z,Cleveland Guardians,Kansas City Royals,pinnacle,2026-09-25T02:34:30Z,spreads,Cleveland Guardians,-1.5,2.28,+128,0.438596
7bd30076728c7fcf1f893c1d269a60af,2026-09-25T23:41:00Z,Cleveland Guardians,Kansas City Royals,pinnacle,2026-09-25T02:34:30Z,spreads,Kansas City Royals,1.5,1.69,-145,0.591716
7bd30076728c7fcf1f893c1d269a60af,2026-09-25T23:41:00Z,Cleveland Guardians,Kansas City Royals,pinnacle,2026-09-25T02:34:30Z,totals,Over,8.0,1.99,-101,0.502513
7bd30076728c7fcf1f893c1d269a60af,2026-09-25T23:41:00Z,Cleveland Guardians,Kansas City Royals,pinnacle,2026-09-25T02:34:30Z,totals,Under,8.0,1.88,-114,0.531915
12c52c4f4de763e9a171ffac0f4f02ef,2026-09-25T23:41:00Z,St. Louis Cardinals,Milwaukee Brewers,pinnacle,2026-09-25T02:34:30Z,h2h,Milwaukee Brewers,,1.56,-179,0.641026
12c52c4f4de763e9a171ffac0f4f02ef,2026-09-25T23:41:00Z,St. Louis Cardinals,Milwaukee Brewers,pinnacle,2026-09-25T02:34:30Z,h2h,St. Louis Cardinals,,2.58,+158,0.387597
12c52c4f4de763e9a171ffac0f4f02ef,2026-09-25T23:41:00Z,St. Louis Cardinals,Milwaukee Brewers,pinnacle,2026-09-25T02:34:30Z,spreads,Milwaukee Brewers,-1.5,2.21,+121,0.452489
12c52c4f4de763e9a171ffac0f4f02ef,2026-09-25T23:41:00Z,St. Louis Cardinals,Milwaukee Brewers,pinnacle,2026-09-25T02:34:30Z,spreads,St. Louis Cardinals,1.5,1.74,-135,0.574713
12c52c4f4de763e9a171ffac0f4f02ef,2026-09-25T23:41:00Z,St. Louis Cardinals,Milwaukee Brewers,pinnacle,2026-09-25T02:34:30Z,totals,Over,8.0,1.88,-114,0.531915
12c52c4f4de763e9a171ffac0f4f02ef,2026-09-25T23:41:00Z,St. Louis Cardinals,Milwaukee Brewers,pinnacle,2026-09-25T02:34:30Z,totals,Under,8.0,1.99,-101,0.502513
