event_id,commence_time_utc,away_team,home_team,bookmaker,bookmaker_last_update,market,selection,point,decimal_odds,american_odds,implied_probability
d618d7800fcb9ab31497c22ecb2120af,2026-09-09T22:36:00Z,Cleveland Guardians,Baltimore Orioles,pinnacle,2026-09-09T22:04:40Z,h2h,Baltimore Orioles,,2.05,+105,0.487805
d618d7800fcb9ab31497c22ecb2120af,2026-09-09T22:36:00Z,Cleveland Guardians,Baltimore Orioles,pinnacle,2026-09-09T22:04:40Z,h2h,Cleveland Guardians,,1.88,-114,0.531915
d618d7800fcb9ab31497c22ecb2120af,2026-09-09T22:36:00Z,Cleveland Guardians,Baltimore Orioles,pinnacle,2026-09-09T22:04:40Z,spreads,Baltimore Orioles,1.5,1.62,-161,0.617284
d618d7800fcb9ab31497c22ecb2120af,2026-09-09T22:36:00Z,Cleveland Guardians,Baltimore Orioles,pinnacle,2026-09-09T22:04:40Z,spreads,Cleveland Guardians,-1.5,2.45,+145,0.408163
d618d7800fcb9ab31497c22ecb2120af,2026-09-09T22:36:00Z,Cleveland Guardians,Baltimore Orioles,pinnacle,2026-09-09T22:04:40Z,totals,Over,8.5,1.91,-110,0.52356
d618d7800fcb9ab31497c22ecb2120af,2026-09-09T22:36:00Z,Cleveland Guardians,Baltimore Orioles,pinnacle,2026-09-09T22:04:40Z,totals,Under,8.5,1.98,-102,0.505051
f1963b019550753f962dfa7a7fa3e781,2026-09-09T22:41:00Z,Houston Astros,Philadelphia Phillies,pinnacle,2026-09-09T22:04:40Z,h2h,Houston Astros,,2.29,+129,0.436681
f1963b019550753f962dfa7a7fa3e781,2026-09-09T22:41:00Z,Houston Astros,Philadelphia Phillies,pinnacle,2026-09-09T22:04:40Z,h2h,Philadelphia Phillies,,1.71,-141,0.584795
f1963b019550753f962dfa7a7fa3e781,2026-09-09T22:41:00Z,Houston Astros,Philadelphia Phillies,pinnacle,2026-09-09T22:04:40Z,spreads,Houston Astros,1.5,1.62,-161,0.617284
f1963b019550753f962dfa7a7fa3e781,2026-09-09T22:41:00Z,Houston Astros,Philadelphia Phillies,pinnacle,2026-09-09T22:04:40Z,spreads,Philadelphia Phillies,-1.5,2.46,+146,0.406504
f1963b019550753f962dfa7a7fa3e781,2026-09-09T22:41:00Z,Houston Astros,Philadelphia Phillies,pinnacle,2026-09-09T22:04:40Z,totals,Over,8.0,1.91,-110,0.52356
f1963b019550753f962dfa7a7fa3e781,2026-09-09T22:41:00Z,Houston Astros,Philadelphia Phillies,pinnacle,2026-09-09T22:04:40Z,totals,Under,8.0,1.98,-102,0.505051
8dafff0a0578488c760ea460e1e6f7b3,2026-09-09T22:41:00Z,New York Mets,Miami Marlins,pinnacle,2026-09-09T22:04:40Z,h2h,Miami Marlins,,1.85,-118,0.540541
8dafff0a0578488c760ea460e1e6f7b3,2026-09-09T22:41:00Z,New York Mets,Miami Marlins,pinnacle,2026-09-09T22:04:40Z,h2h,New York Mets,,2.09,+109,0.478469
8dafff0a0578488c760ea460e1e6f7b3,2026-09-09T22:41:00Z,New York Mets,Miami Marlins,pinnacle,2026-09-09T22:04:40Z,spreads,Miami Marlins,-1.5,2.7,+170,0.37037
8dafff0a0578488c760ea460e1e6f7b3,2026-09-09T22:41:00Z,New York Mets,Miami Marlins,pinnacle,2026-09-09T22:04:40Z,spreads,New York Mets,1.5,1.53,-189,0.653595
8dafff0a0578488c760ea460e1e6f7b3,2026-09-09T22:41:00Z,New York Mets,Miami Marlins,pinnacle,2026-09-09T22:04:40Z,totals,Over,9.0,2.06,+106,0.485437
8dafff0a0578488c760ea460e1e6f7b3,2026-09-09T22:41:00Z,New York Mets,Miami Marlins,pinnacle,2026-09-09T22:04:40Z,totals,Under,9.0,1.84,-119,0.543478
c8513bd1ec6dd659d64e9c17052f4c9d,2026-09-09T22:46:00Z,Los Angeles Angels,Boston Red Sox,pinnacle,2026-09-09T22:04:40Z,h2h,Boston Red Sox,,1.47,-213,0.680272
c8513bd1ec6dd659d64e9c17052f4c9d,2026-09-09T22:46:00Z,Los Angeles Angels,Boston Red Sox,pinnacle,2026-09-09T22:04:40Z,h2h,Los Angeles Angels,,2.91,+191,0.343643
c8513bd1ec6dd659d64e9c17052f4c9d,2026-09-09T22:46:00Z,Los Angeles Angels,Boston Red Sox,pinnacle,2026-09-09T22:04:40Z,spreads,Boston Red Sox,-1.5,1.98,-102,0.505051
c8513bd1ec6dd659d64e9c17052f4c9d,2026-09-09T22:46:00Z,Los Angeles Angels,Boston Red Sox,pinnacle,2026-09-09T22:04:40Z,spreads,Los Angeles Angels,1.5,1.93,-108,0.518135
c8513bd1ec6dd659d64e9c17052f4c9d,2026-09-09T22:46:00Z,Los Angeles Angels,Boston Red Sox,pinnacle,2026-09-09T22:04:40Z,totals,Over,9.0,1.85,-118,0.540541
c8513bd1ec6dd659d64e9c17052f4c9d,2026-09-09T22:46:00Z,Los Angeles Angels,Boston Red Sox,pinnacle,2026-09-09T22:04:40Z,totals,Under,9.0,2.05,+105,0.487805
163a7ada5c294169bddfad332af498ef,2026-09-09T23:06:00Z,Colorado Rockies,New York Yankees,pinnacle,2026-09-09T22:04:40Z,h2h,Colorado Rockies,,3.12,+212,0.320513
163a7ada5c294169bddfad332af498ef,2026-09-09T23:06:00Z,Colorado Rockies,New York Yankees,pinnacle,2026-09-09T22:04:40Z,h2h,New York Yankees,,1.42,-238,0.704225
163a7ada5c294169bddfad332af498ef,2026-09-09T23:06:00Z,Colorado Rockies,New York Yankees,pinnacle,2026-09-09T22:04:40Z,spreads,Colorado Rockies,1.5,2.01,+101,0.497512
